date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2022-05-03,116,306,4,2022-05-02 22:52:00+0000,2022-05-03 06:30:00+0000,32,
2022-05-04,73,261,4,2022-05-03 23:12:00+0000,2022-05-04 06:03:00+0000,73,
2022-05-05,70,241,17,2022-05-05 00:04:00+0000,2022-05-05 06:50:00+0000,78,
2022-05-06,0,0,0,2022-05-04 22:00:00+0000,2022-05-04 22:00:00+0000,0,
2022-05-07,89,364,28,2022-05-06 22:06:00+0000,2022-05-07 06:57:00+0000,50,
2022-05-08,52,156,31,2022-05-08 03:42:00+0000,2022-05-08 08:53:00+0000,72,
2022-05-09,63,297,4,2022-05-08 22:48:00+0000,2022-05-09 06:02:00+0000,70,
2022-05-10,87,339,1,2022-05-09 22:02:00+0000,2022-05-10 06:03:00+0000,54,
2022-05-11,68,222,46,2022-05-10 22:26:00+0000,2022-05-11 06:05:00+0000,123,
2022-05-12,85,304,1,2022-05-11 22:43:00+0000,2022-05-12 05:40:00+0000,27,
2022-05-13,116,245,2,2022-05-12 22:30:00+0000,2022-05-13 04:58:00+0000,25,
2022-05-14,4,175,22,2022-05-14 05:15:00+0000,2022-05-14 09:04:00+0000,28,
2022-05-15,92,227,2,2022-05-14 22:34:00+0000,2022-05-15 05:35:00+0000,100,
2022-05-16,103,322,13,2022-05-15 22:42:00+0000,2022-05-16 06:34:00+0000,34,
2022-05-17,81,207,21,2022-05-16 22:53:00+0000,2022-05-17 05:02:00+0000,60,
2022-05-18,95,202,2,2022-05-17 23:10:00+0000,2022-05-18 05:29:00+0000,80,
2022-05-19,54,278,4,2022-05-18 22:08:00+0000,2022-05-19 04:37:00+0000,53,
2022-05-20,78,258,2,2022-05-19 23:25:00+0000,2022-05-20 06:04:00+0000,61,
2022-05-21,64,308,7,2022-05-20 22:21:00+0000,2022-05-21 05:08:00+0000,28,
2022-05-22,0,0,0,2022-05-20 22:00:00+0000,2022-05-20 22:00:00+0000,0,
2022-05-23,95,301,3,2022-05-22 23:08:00+0000,2022-05-23 07:11:00+0000,84,
2022-05-24,103,292,3,2022-05-23 22:51:00+0000,2022-05-24 06:35:00+0000,66,
2022-05-25,98,282,7,2022-05-24 22:27:00+0000,2022-05-25 05:54:00+0000,60,
2022-05-26,128,269,4,2022-05-25 23:52:00+0000,2022-05-26 07:05:00+0000,32,
2022-05-27,97,244,2,2022-05-26 23:11:00+0000,2022-05-27 05:25:00+0000,31,
2022-05-28,83,235,5,2022-05-27 23:36:00+0000,2022-05-28 06:34:00+0000,95,
2022-05-29,0,0,0,2022-05-27 22:00:00+0000,2022-05-27 22:00:00+0000,0,
2022-05-30,57,409,4,2022-05-29 22:50:00+0000,2022-05-30 07:14:00+0000,34,
2022-05-31,101,295,7,2022-05-30 22:32:00+0000,2022-05-31 05:43:00+0000,28,
2022-06-01,83,191,2,2022-05-31 23:53:00+0000,2022-06-01 05:53:00+0000,84,
2022-06-02,83,205,5,2022-06-01 23:20:00+0000,2022-06-02 05:30:00+0000,77,
2022-06-03,90,290,6,2022-06-02 22:08:00+0000,2022-06-03 05:19:00+0000,45,
2022-06-04,86,269,9,2022-06-03 22:08:00+0000,2022-06-04 05:03:00+0000,51,
2022-06-05,66,114,64,2022-06-05 04:12:00+0000,2022-06-05 09:13:00+0000,57,
2022-06-06,134,277,0,2022-06-05 22:07:00+0000,2022-06-06 07:11:00+0000,133,
2022-06-07,64,272,0,2022-06-06 23:07:00+0000,2022-06-07 05:03:00+0000,20,
2022-06-08,84,311,0,2022-06-07 23:50:00+0000,2022-06-08 07:02:00+0000,37,
2022-06-09,86,256,2,2022-06-08 23:35:00+0000,2022-06-09 06:40:00+0000,81,
2022-06-10,84,207,0,2022-06-10 00:22:00+0000,2022-06-10 06:52:00+0000,99,
2022-06-11,92,340,10,2022-06-10 23:13:00+0000,2022-06-11 07:05:00+0000,30,
2022-06-12,29,183,1,2022-06-12 05:43:00+0000,2022-06-12 09:52:00+0000,36,
2022-06-13,109,388,5,2022-06-12 23:24:00+0000,2022-06-13 09:11:00+0000,85,
2022-06-14,93,255,3,2022-06-13 23:50:00+0000,2022-06-14 07:35:00+0000,114,
2022-06-15,112,273,0,2022-06-15 00:24:00+0000,2022-06-15 07:26:00+0000,37,
2022-06-16,81,279,0,2022-06-16 00:19:00+0000,2022-06-16 06:55:00+0000,36,
2022-06-17,78,247,0,2022-06-17 00:05:00+0000,2022-06-17 05:52:00+0000,22,
2022-06-18,96,276,3,2022-06-17 22:54:00+0000,2022-06-18 06:08:00+0000,59,
2022-06-19,69,230,11,2022-06-19 05:17:00+0000,2022-06-19 11:07:00+0000,40,
2022-06-20,102,348,7,2022-06-19 23:53:00+0000,2022-06-20 08:00:00+0000,30,
2022-06-21,79,287,2,2022-06-21 00:56:00+0000,2022-06-21 07:30:00+0000,26,
2022-06-22,75,213,10,2022-06-22 00:50:00+0000,2022-06-22 06:56:00+0000,68,
2022-06-23,49,323,9,2022-06-23 00:03:00+0000,2022-06-23 07:32:00+0000,68,
2022-06-24,49,199,0,2022-06-24 05:17:00+0000,2022-06-24 10:11:00+0000,46,
2022-06-25,102,257,0,2022-06-25 00:28:00+0000,2022-06-25 08:16:00+0000,109,
2022-06-26,0,0,0,2022-06-24 22:00:00+0000,2022-06-24 22:00:00+0000,0,
2022-06-27,145,368,12,2022-06-26 22:11:00+0000,2022-06-27 09:43:00+0000,167,
2022-06-28,82,271,9,2022-06-27 23:12:00+0000,2022-06-28 05:56:00+0000,42,
2022-06-29,32,153,27,2022-06-29 00:19:00+0000,2022-06-29 05:11:00+0000,80,
2022-06-30,63,210,0,2022-06-29 23:00:00+0000,2022-06-30 04:06:00+0000,33,
2022-07-01,26,124,24,2022-07-01 05:28:00+0000,2022-07-01 09:43:00+0000,81,
2022-07-02,141,327,6,2022-07-01 23:01:00+0000,2022-07-02 08:54:00+0000,119,
2022-07-03,0,0,0,2022-07-01 22:00:00+0000,2022-07-01 22:00:00+0000,0,
2022-07-04,141,376,3,2022-07-03 21:33:00+0000,2022-07-04 08:01:00+0000,108,
2022-07-05,0,0,0,2022-07-03 22:00:00+0000,2022-07-03 22:00:00+0000,0,
2022-07-06,67,461,0,2022-07-05 21:01:00+0000,2022-07-06 07:10:00+0000,81,
2022-07-07,135,344,38,2022-07-06 22:36:00+0000,2022-07-07 08:08:00+0000,55,
2022-07-08,74,284,2,2022-07-08 00:25:00+0000,2022-07-08 07:21:00+0000,56,
2022-07-09,95,318,0,2022-07-08 22:40:00+0000,2022-07-09 06:04:00+0000,31,
2022-07-10,0,0,0,2022-07-08 22:00:00+0000,2022-07-08 22:00:00+0000,0,
2022-07-11,175,361,2,2022-07-10 21:41:00+0000,2022-07-11 08:47:00+0000,128,
2022-07-12,120,378,2,2022-07-11 23:43:00+0000,2022-07-12 08:57:00+0000,54,
